formulation_name,symptoms,ingredients,steps,dosage,category,product_link,doctor_type,description
Madhusnuhi Rasayanam,"skin disorders itching inflammation toxin accumulation infection","madhusnuhi herbs ghee honey","prepare herbal paste cook ingredients store","5–10 g","rasayana","","dermatologist general physician","purifies blood treats skin diseases and detoxifies body"
Maha Vilwadi Lehyam,"diarrhea dysentery indigestion abdominal pain bloating","bilva herbs ghee honey jaggery","prepare herbal paste cook ingredients store","5–10 g","avaleha","","general physician gastroenterologist","controls diarrhea improves digestion and supports gut health"
Manibhadra Guda,"constipation indigestion bloating toxin accumulation abdominal pain skin disorders","herbal blend jaggery","prepare herbal mixture cook with jaggery store","5–10 g","avaleha","","general physician gastroenterologist","relieves constipation detoxifies body and improves digestion"
Narasimha Rasayanam,"weakness fatigue low immunity aging hair fall infertility low libido","herbal blend ghee honey jaggery","prepare herbal paste cook ingredients store","5–10 g","rasayana","","general physician","rejuvenates body improves strength and supports longevity"
Panchajeeraka Gudam,"indigestion bloating gas abdominal pain poor digestion","jeera herbs jaggery","prepare herbal mixture cook with jaggery store","5–10 g","avaleha","","general physician gastroenterologist","improves digestion relieves gas and enhances appetite"
Parushakadi Leham,"diarrhea dysentery indigestion abdominal pain inflammation","parushaka herbs ghee honey jaggery","prepare herbal paste cook ingredients store","5–10 g","avaleha","","general physician gastroenterologist","controls diarrhea reduces inflammation and supports gut health"
Puli Lehyam,"indigestion bloating gas abdominal pain loss of appetite","tamarind herbs ghee honey jaggery","prepare herbal paste cook ingredients store","5–10 g","avaleha","","general physician gastroenterologist","improves digestion relieves gas and enhances appetite"
Ratnapurusha Lehyam,"weakness fatigue low immunity respiratory problems cough","herbal blend ghee honey jaggery","prepare herbal paste cook ingredients store","5–10 g","avaleha","","general physician pulmonologist","boosts immunity improves strength and supports respiratory health"
Shatavari Guda,"hormonal imbalance infertility weakness fatigue low immunity menstrual disorders","shatavari herbs jaggery ghee honey","prepare herbal paste cook ingredients store","5–10 g","avaleha","","gynecologist general physician","supports hormonal balance improves fertility and enhances strength"
Sowbhagya Shunti Pak,"postnatal weakness indigestion bloating gas abdominal pain","shunti ginger herbs jaggery ghee","prepare herbal paste cook ingredients store","5–10 g","avaleha","","gynecologist general physician","supports postnatal recovery improves digestion and relieves bloating"
Stanyajanana Rasayanam,"low milk production weakness fatigue postnatal recovery","herbal blend ghee jaggery","prepare herbal paste cook ingredients store","5–10 g","rasayana","","gynecologist general physician","enhances lactation improves strength and supports recovery"
Tambula Lehyam,"indigestion bad breath nausea loss of appetite","betel leaf herbs ghee honey jaggery","prepare herbal paste cook ingredients store","5–10 g","avaleha","","general physician dentist","improves digestion relieves bad breath and enhances appetite"
Trivrit Lehyam,"constipation toxin accumulation bloating abdominal pain indigestion","trivrit herbs ghee honey jaggery","prepare herbal paste cook ingredients store","5–10 g","avaleha","","general physician gastroenterologist","acts as laxative relieves constipation and detoxifies body"
Vasavaleha,"cough asthma bronchitis respiratory problems chest congestion","vasaka herbs ghee honey jaggery","prepare herbal paste cook ingredients store","5–10 g","avaleha","","general physician pulmonologist","relieves cough supports lungs and improves breathing"
Vyaghri Haritaki Avaleha,"cough asthma respiratory problems breathlessness indigestion","vyaghri haritaki herbs ghee honey jaggery","prepare herbal paste cook ingredients store","5–10 g","avaleha","","general physician pulmonologist","supports respiratory health improves digestion and relieves cough"
Abhrak Bhasma,"weakness fatigue anemia respiratory problems low immunity infertility","abhrak mica purified minerals","process through calcination cycles to obtain fine ash","125–250 mg","bhasma","","general physician pulmonologist","boosts strength improves immunity and supports respiratory and reproductive health"
Akik Bhasma,"heart palpitations anxiety stress hypertension weakness","akik agate mineral","purify and calcine mineral to obtain fine ash","125–250 mg","bhasma","","cardiologist general physician","calms mind supports heart health and reduces stress"
Godanti Bhasma,"fever headache migraine calcium deficiency weakness inflammation","gypsum mineral","purify and calcine mineral to obtain fine ash","125–250 mg","bhasma","","general physician neurologist","reduces fever relieves headache and supports bone health"
Gomed Mani Bhasma,"skin disorders anxiety stress digestive issues toxin accumulation","gomed gemstone mineral","purify and calcine mineral to obtain fine ash","125–250 mg","bhasma","","dermatologist general physician","improves skin health reduces stress and detoxifies body"
Jahara Mohara Bhasma,"heart disease palpitations anxiety hypertension weakness","jahar mohara mineral","purify and calcine mineral to obtain fine ash","125–250 mg","bhasma","","cardiologist general physician","supports heart health calms mind and improves vitality"
Kapardak Bhasma,"acidity indigestion bloating abdominal pain calcium deficiency","kapardak shell mineral","purify and calcine shell to obtain fine ash","125–250 mg","bhasma","","general physician gastroenterologist","reduces acidity improves digestion and supports calcium balance"
Kasis Bhasma,"anemia fatigue weakness low hemoglobin","kasis iron sulfate mineral","purify and calcine mineral to obtain fine ash","125–250 mg","bhasma","","general physician hematologist","improves hemoglobin treats anemia and boosts strength"
Kukkutandatvak Bhasma,"calcium deficiency bone weakness joint pain osteoporosis","eggshell mineral","purify and calcine shell to obtain fine ash","125–250 mg","bhasma","","orthopedist general physician","strengthens bones improves calcium levels and reduces joint pain"
Loha Bhasma,"anemia fatigue weakness low hemoglobin indigestion","iron loha mineral","purify and calcine iron to obtain fine ash","125–250 mg","bhasma","","general physician hematologist","treats anemia improves strength and supports blood health"
Mandur Bhasma,"anemia liver disorders fatigue weakness edema","mandur iron oxide mineral","purify and calcine mineral to obtain fine ash","125–250 mg","bhasma","","general physician hepatologist","improves hemoglobin supports liver function and reduces swelling"
Manikya Bhasma,"heart disease weakness fatigue low immunity anxiety","ruby gemstone mineral","purify and calcine gemstone to obtain fine ash","125–250 mg","bhasma","","cardiologist general physician","supports heart health boosts immunity and improves vitality"
Mayur Piccha Bhasma,"asthma cough hiccups vomiting digestive disorders","peacock feather ash","purify and calcine feather to obtain fine ash","125–250 mg","bhasma","","general physician pulmonologist","relieves respiratory issues controls vomiting and improves digestion"
