formulation_name,symptoms,ingredients,steps,dosage,category,product_link,doctor_type,description,dosha
Kutajavaleha,diarrhea dysentery abdominal pain indigestion intestinal infection,kutaja herbs ghee honey jaggery,prepare herbal paste cook ingredients store,5–10 g,avaleha,,general physician gastroenterologist,controls diarrhea improves digestion and treats infections,Vata
Laghu Musli Pak,weakness fatigue low stamina infertility low libido low immunity,musli herbs ghee honey sugar,prepare herbal paste cook ingredients store,5–10 g,avaleha,,general physician,boosts strength improves stamina and supports reproductive health,Vata
Loha Rasayana,anemia fatigue weakness low hemoglobin poor immunity,iron loha herbs ghee honey,prepare herbal paste process ingredients store,5–10 g,rasayana,,general physician hematologist,improves hemoglobin boosts immunity and increases strength,Vata
Madhusnuhi Rasayanam,skin disorders itching inflammation toxin accumulation infection,madhusnuhi herbs ghee honey,prepare herbal paste cook ingredients store,5–10 g,rasayana,,dermatologist general physician,purifies blood treats skin diseases and detoxifies body,Pitta
Maha Vilwadi Lehyam,diarrhea dysentery indigestion abdominal pain bloating,bilva herbs ghee honey jaggery,prepare herbal paste cook ingredients store,5–10 g,avaleha,,general physician gastroenterologist,controls diarrhea improves digestion and supports gut health,Vata
Manibhadra Guda,constipation indigestion bloating toxin accumulation abdominal pain skin disorders,herbal blend jaggery,prepare herbal mixture cook with jaggery store,5–10 g,avaleha,,general physician gastroenterologist,relieves constipation detoxifies body and improves digestion,Vata
Narasimha Rasayanam,weakness fatigue low immunity aging hair fall infertility low libido,herbal blend ghee honey jaggery,prepare herbal paste cook ingredients store,5–10 g,rasayana,,general physician,rejuvenates body improves strength and supports longevity,Vata
Panchajeeraka Gudam,indigestion bloating gas abdominal pain poor digestion,jeera herbs jaggery,prepare herbal mixture cook with jaggery store,5–10 g,avaleha,,general physician gastroenterologist,improves digestion relieves gas and enhances appetite,Vata
Parushakadi Leham,diarrhea dysentery indigestion abdominal pain inflammation,parushaka herbs ghee honey jaggery,prepare herbal paste cook ingredients store,5–10 g,avaleha,,general physician gastroenterologist,controls diarrhea reduces inflammation and supports gut health,"Vata, Pitta"
Puli Lehyam,indigestion bloating gas abdominal pain loss of appetite,tamarind herbs ghee honey jaggery,prepare herbal paste cook ingredients store,5–10 g,avaleha,,general physician gastroenterologist,improves digestion relieves gas and enhances appetite,Vata
Ratnapurusha Lehyam,weakness fatigue low immunity respiratory problems cough,herbal blend ghee honey jaggery,prepare herbal paste cook ingredients store,5–10 g,avaleha,,general physician pulmonologist,boosts immunity improves strength and supports respiratory health,"Vata, Kapha"
Shatavari Guda,hormonal imbalance infertility weakness fatigue low immunity menstrual disorders,shatavari herbs jaggery ghee honey,prepare herbal paste cook ingredients store,5–10 g,avaleha,,gynecologist general physician,supports hormonal balance improves fertility and enhances strength,Vata
Sowbhagya Shunti Pak,postnatal weakness indigestion bloating gas abdominal pain,shunti ginger herbs jaggery ghee,prepare herbal paste cook ingredients store,5–10 g,avaleha,,gynecologist general physician,supports postnatal recovery improves digestion and relieves bloating,Vata
Stanyajanana Rasayanam,low milk production weakness fatigue postnatal recovery,herbal blend ghee jaggery,prepare herbal paste cook ingredients store,5–10 g,rasayana,,gynecologist general physician,enhances lactation improves strength and supports recovery,Vata
Tambula Lehyam,indigestion bad breath nausea loss of appetite,betel leaf herbs ghee honey jaggery,prepare herbal paste cook ingredients store,5–10 g,avaleha,,general physician dentist,improves digestion relieves bad breath and enhances appetite,Tridosha
Trivrit Lehyam,constipation toxin accumulation bloating abdominal pain indigestion,trivrit herbs ghee honey jaggery,prepare herbal paste cook ingredients store,5–10 g,avaleha,,general physician gastroenterologist,acts as laxative relieves constipation and detoxifies body,Vata
Vasavaleha,cough asthma bronchitis respiratory problems chest congestion,vasaka herbs ghee honey jaggery,prepare herbal paste cook ingredients store,5–10 g,avaleha,,general physician pulmonologist,relieves cough supports lungs and improves breathing,Kapha
Vyaghri Haritaki Avaleha,cough asthma respiratory problems breathlessness indigestion,vyaghri haritaki herbs ghee honey jaggery,prepare herbal paste cook ingredients store,5–10 g,avaleha,,general physician pulmonologist,supports respiratory health improves digestion and relieves cough,Kapha
Abhrak Bhasma,weakness fatigue anemia respiratory problems low immunity infertility,abhrak mica purified minerals,process through calcination cycles to obtain fine ash,125–250 mg,bhasma,,general physician pulmonologist,boosts strength improves immunity and supports respiratory and reproductive health,Vata
Akik Bhasma,heart palpitations anxiety stress hypertension weakness,akik agate mineral,purify and calcine mineral to obtain fine ash,125–250 mg,bhasma,,cardiologist general physician,calms mind supports heart health and reduces stress,Vata
Godanti Bhasma,fever headache migraine calcium deficiency weakness inflammation,gypsum mineral,purify and calcine mineral to obtain fine ash,125–250 mg,bhasma,,general physician neurologist,reduces fever relieves headache and supports bone health,Pitta
Gomed Mani Bhasma,skin disorders anxiety stress digestive issues toxin accumulation,gomed gemstone mineral,purify and calcine mineral to obtain fine ash,125–250 mg,bhasma,,dermatologist general physician,improves skin health reduces stress and detoxifies body,Vata
Jahara Mohara Bhasma,heart disease palpitations anxiety hypertension weakness,jahar mohara mineral,purify and calcine mineral to obtain fine ash,125–250 mg,bhasma,,cardiologist general physician,supports heart health calms mind and improves vitality,Vata
Kapardak Bhasma,acidity indigestion bloating abdominal pain calcium deficiency,kapardak shell mineral,purify and calcine shell to obtain fine ash,125–250 mg,bhasma,,general physician gastroenterologist,reduces acidity improves digestion and supports calcium balance,Vata
Kasis Bhasma,anemia fatigue weakness low hemoglobin,kasis iron sulfate mineral,purify and calcine mineral to obtain fine ash,125–250 mg,bhasma,,general physician hematologist,improves hemoglobin treats anemia and boosts strength,Vata
Kukkutandatvak Bhasma,calcium deficiency bone weakness joint pain osteoporosis,eggshell mineral,purify and calcine shell to obtain fine ash,125–250 mg,bhasma,,orthopedist general physician,strengthens bones improves calcium levels and reduces joint pain,Vata
Loha Bhasma,anemia fatigue weakness low hemoglobin indigestion,iron loha mineral,purify and calcine iron to obtain fine ash,125–250 mg,bhasma,,general physician hematologist,treats anemia improves strength and supports blood health,Vata
Mandur Bhasma,anemia liver disorders fatigue weakness edema,mandur iron oxide mineral,purify and calcine mineral to obtain fine ash,125–250 mg,bhasma,,general physician hepatologist,improves hemoglobin supports liver function and reduces swelling,Vata
Manikya Bhasma,heart disease weakness fatigue low immunity anxiety,ruby gemstone mineral,purify and calcine gemstone to obtain fine ash,125–250 mg,bhasma,,cardiologist general physician,supports heart health boosts immunity and improves vitality,Vata
Mayur Piccha Bhasma,asthma cough hiccups vomiting digestive disorders,peacock feather ash,purify and calcine feather to obtain fine ash,125–250 mg,bhasma,,general physician pulmonologist,relieves respiratory issues controls vomiting and improves digestion,Kapha
Moolaka Kshara,indigestion bloating abdominal pain constipation piles,radish extract alkaline salt,prepare alkaline extract from plant ash,125–250 mg,kshara,,general physician gastroenterologist,improves digestion relieves constipation and reduces bloating,Vata
Mukta Bhasma,calcium deficiency anxiety insomnia heart weakness fatigue,pearl calcium carbonate,purify and calcine pearl to obtain fine ash,125–250 mg,bhasma,,cardiologist neurologist,calms mind strengthens heart and improves calcium levels,Vata
Mukta Shukti Bhasma,acidity indigestion calcium deficiency gastric disorders,pearl oyster shell,purify and calcine shell to obtain fine ash,125–250 mg,bhasma,,general physician gastroenterologist,reduces acidity improves digestion and supports calcium balance,"Vata, Pitta"
Naga Bhasma,diabetes urinary disorders anemia weakness fatigue,lead purified mineral,purify and calcine metal to obtain fine ash,125–250 mg,bhasma,,general physician endocrinologist,supports urinary health manages diabetes and improves strength,Vata
Neelam Bhasma,anxiety stress mental disorders weakness fatigue,sapphire gemstone mineral,purify and calcine gemstone to obtain fine ash,125–250 mg,bhasma,,neurologist psychiatrist,calms mind reduces stress and improves mental health,Vata
